Temmuz 2026;;;;;;;;;;;;;;;;;;
Marka Kodu;Tip Kodu;Marka Adı;Tip Adı;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
3;1034;ALFA ROMEO;GIULIA 2.0 280 ESTREMA AWD AT;0;0;0;0;3721024;0;0;0;0;0;0;0;0;0;0
3;1035;ALFA ROMEO;STELVIO 2.0 280 ESTREMA AWD AT;0;0;0;0;3473400;0;0;0;0;0;0;0;0;0;0
3;1036;ALFA ROMEO;TONALE TI 1.6 DIESEL 130 DCT;3400000;3350013;2278404;1894338;1708997;0;0;0;0;0;0;0;0;0;0
3;1037;ALFA ROMEO;TONALE SPRINT 1.6 DIESEL 130 DCT;0;0;0;1483217;1468385;0;0;0;0;0;0;0;0;0;0
3;1038;ALFA ROMEO;TONALE TI 1.5 HYBRID 160 TCT;0;0;0;1863495;1678339;0;0;0;0;0;0;0;0;0;0
3;1039;ALFA ROMEO;TONALE VELOCE 1.5 HYBRID 160 TCT;0;0;2789246;2311150;2102050;0;0;0;0;0;0;0;0;0;0
3;1040;ALFA ROMEO;GIULIA 2.0 280 LUSSO AWD AT;0;0;0;0;3369738;0;0;0;0;0;0;0;0;0;0
3;1041;ALFA ROMEO;STELVIO 2.0 280 LUSSO AWD AT;0;0;0;0;3667648;0;0;0;0;0;0;0;0;0;0
3;1042;ALFA ROMEO;GIULIA MCA 2.0 280 COMPETIZIONE AWD AT;0;0;0;4118744;0;0;0;0;0;0;0;0;0;0;0
3;1043;ALFA ROMEO;GIULIA MCA 2.0 280 VELOCE AWD AT;0;0;0;3733199;0;0;0;0;0;0;0;0;0;0;0
3;1044;ALFA ROMEO;STELVIO MCA 2.0 280 VELOCE AWD AT;0;0;0;4081131;0;0;0;0;0;0;0;0;0;0;0
3;1045;ALFA ROMEO;STELVIO MCA 2.0 280 COMPETIZIONE AWD AT;0;0;0;4485481;0;0;0;0;0;0;0;0;0;0;0
3;1046;ALFA ROMEO;TONALE VELOCE 1.3 280 PLUG-IN HYBRID EAWD;0;0;0;2927081;0;0;0;0;0;0;0;0;0;0;0
3;1047;ALFA ROMEO;GIULIA 2.9 520 QV RWD AT;0;0;0;13875254;0;0;0;0;0;0;0;0;0;0;0
3;1048;ALFA ROMEO;STELVIO 2.9 520 QV AWD AT;0;0;0;12295142;0;0;0;0;0;0;0;0;0;0;0
3;1049;ALFA ROMEO;TONALE SPECIALE 1.6 DIESEL 130 DCT;0;0;2549702;0;0;0;0;0;0;0;0;0;0;0;0
3;1050;ALFA ROMEO;TONALE SPECIALE 1.5 VGT 160 HYBRID TCT;0;2787145;2497360;0;0;0;0;0;0;0;0;0;0;0;0
3;1051;ALFA ROMEO;TONALE TRIBUTO 1.5 VGT 160 HYBRID TCT;0;0;3085827;0;0;0;0;0;0;0;0;0;0;0;0
3;1052;ALFA ROMEO;TONALE TRIBUTO 1.6 DIESEL 130 DCT;0;0;2962357;0;0;0;0;0;0;0;0;0;0;0;0
3;1053;ALFA ROMEO;TONALE TRIBUTO 1.3 PLUG-IN HYBRID 280 eAWD;0;0;3526378;0;0;0;0;0;0;0;0;0;0;0;0
3;1054;ALFA ROMEO;JUNIOR ELETTRICA 115KW (156);0;1784261;1560175;0;0;0;0;0;0;0;0;0;0;0;0
3;1055;ALFA ROMEO;JUNIOR ELETTRICA SPECIALE 115KW (156);0;2166790;1725310;0;0;0;0;0;0;0;0;0;0;0;0
3;1056;ALFA ROMEO;JUNIOR IBRIDA 1.2 136 HYBRID;0;2024447;1675704;0;0;0;0;0;0;0;0;0;0;0;0
3;1057;ALFA ROMEO;JUNIOR IBRIDA SPECIALE 1.2 136 HYBRID;0;2286849;1884051;0;0;0;0;0;0;0;0;0;0;0;0
3;1058;ALFA ROMEO;TONALE SPECIALE 1.5 VGT 175 HYBRID DCT;3727000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1059;ALFA ROMEO;JUNIOR ELETTRICA SPECIALE+ 115KW (156);2474300;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1060;ALFA ROMEO;JUNIOR IBRIDA SPECIALE+ 1.2 136 HYBRID;2668200;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;101;ASTON MARTIN;DB9 VOLANTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7139373
8;1001;ASTON MARTIN;DB9 VOLANTE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7347592
8;1002;ASTON MARTIN;DB9 COUPE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5346159
8;1003;ASTON MARTIN;DB9 COUPE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;11749788;11056744;9099313;6550521;5664070
8;1004;ASTON MARTIN;DBS 6.0;0;0;0;0;0;0;0;0;0;0;0;0;11773899;10962988;8905886
8;1005;ASTON MARTIN;RAPIDE 6.0 VOLANTE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;10759745;10071683;8105596
8;1006;ASTON MARTIN;DB9 6.0 VOLANTE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0;12552784;10133803;9504564;7891599
8;1007;ASTON MARTIN;DBS 6.0 TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;12547094;11504068;9217597
8;1008;ASTON MARTIN;V8 VANTAGE SPORTSHIFT COUPE;0;0;0;0;0;0;0;0;0;0;7921027;6944504;6081219;5714415;5096756
8;1009;ASTON MARTIN;V8 VANTAGE SPORTSHIFT ROADSTER;0;0;0;0;0;0;0;0;0;0;0;7884998;7037110;6849498;5720222
8;1010;ASTON MARTIN;V8 VANTAGE S COUPE;0;0;0;0;0;0;0;0;0;8906647;7263316;6573535;6231866;5832074;5227693
8;1011;ASTON MARTIN;V8 VANTAGE S ROADSTAR SPORTSSHIFT II;0;0;0;0;0;0;0;0;0;11272927;9522530;8527790;7416281;7175206;5852442
8;1012;ASTON MARTIN;V12 VANTAGE COUPE;0;0;0;0;0;0;0;0;0;0;0;8689994;7496029;7080378;6156586
8;1013;ASTON MARTIN;RAPIDE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0;9138223;8174936;7659287;7347325
8;1014;ASTON MARTIN;VIRAGE COUPE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5620700
8;1015;ASTON MARTIN;VIRAGE VOLANTE TOUCHTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6578662
8;1016;ASTON MARTIN;VANQUISH 6.0;0;0;0;0;0;0;0;0;0;18493594;15288971;13827705;12808827;0;0
8;1017;ASTON MARTIN;RAPIDE S;0;0;0;0;0;0;0;0;0;16387526;12178936;10629430;0;0;0
8;1018;ASTON MARTIN;DB11;0;0;0;0;25390836;21986327;21366843;19484553;16759504;15863362;11089276;0;0;0;0
8;1019;ASTON MARTIN;CG 1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;732675
8;1020;ASTON MARTIN;DBS SUPERLEGGERA 5.2;0;0;0;0;41297134;35371250;34167845;33826166;33481705;0;0;0;0;0;0
8;1021;ASTON MARTIN;VANTAGE COUPE 4.0;0;0;0;29500000;18341862;16636983;16070955;15348967;13851206;0;0;0;0;0;0
8;1022;ASTON MARTIN;RAPIDE AMR;0;0;0;0;0;0;0;27262164;0;0;0;0;0;0;0
8;1023;ASTON MARTIN;DB11 4.0;0;0;0;0;0;0;0;0;13629711;0;0;0;0;0;0
8;1025;ASTON MARTIN;DB11 AMR 5.2;0;0;0;0;0;22281671;21523597;16444546;0;0;0;0;0;0;0
8;1026;ASTON MARTIN;DBX;0;0;0;0;0;18119631;17557299;0;0;0;0;0;0;0;0
8;1027;ASTON MARTIN;VANTAGE ROADSTAR 4.0;0;56017500;41584699;34894516;21345546;18419516;0;0;0;0;0;0;0;0;0
8;1028;ASTON MARTIN;DB11 V8 VOLANTE;0;0;0;0;0;0;24643696;22739942;0;0;0;0;0;0;0
8;1029;ASTON MARTIN;DB11 4.0 V8 CABRIO;0;0;0;0;0;0;0;0;14140823;0;0;0;0;0;0
8;1030;ASTON MARTIN;VANTAGE F1 COUPE 4.0;0;0;0;34750000;33000000;0;0;0;0;0;0;0;0;0;0
8;1031;ASTON MARTIN;DBX 707 4.0 V8 AWD AT;0;0;56017500;41049177;38531005;0;0;0;0;0;0;0;0;0;0
8;1032;ASTON MARTIN;V12 VANTAGE S 6.0;0;0;0;0;0;0;0;0;0;0;15114361;0;0;0;0
8;1033;ASTON MARTIN;DB12 COUPE 4.0 V8;0;64020000;62518946;61352500;0;0;0;0;0;0;0;0;0;0;0
8;1034;ASTON MARTIN;DB12 VOLANTE 4.0 V8;0;73249550;68984544;66687500;0;0;0;0;0;0;0;0;0;0;0
8;1035;ASTON MARTIN;DBS 5.2 V12;0;0;0;74690000;0;0;0;0;0;0;0;0;0;0;0
8;1036;ASTON MARTIN;DBS 770 5.2 V12;0;0;0;96030000;0;0;0;0;0;0;0;0;0;0;0
8;1037;ASTON MARTIN;V8 VANTAGE COUPE 4.0;0;0;74690000;0;0;0;0;0;0;0;0;0;0;0;0
8;1038;ASTON MARTIN;VANQUISH 5.2 V12;0;99124300;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1039;ASTON MARTIN;DBX S 4.0 V8;80025000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;187;AUDI;S6 QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3951417
9;256;AUDI;A3 1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;819651
9;264;AUDI;S4 AVANT QUATTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2432345
9;275;AUDI;A6 3.0 TDI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2179806
9;287;AUDI;A3 SPORTBACK 1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;771123
9;297;AUDI;A8 3.0 TDI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2645422
9;301;AUDI;A4 2.0T FSI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1260555
9;324;AUDI;A4 AVANT 2.0 TDI MULTITRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1157432
9;328;AUDI;A6 2.0 T FSI MULTIRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1119142
9;339;AUDI;Q7 3.0 TDI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;2668698;2588636;2510976
9;370;AUDI;A6 AVANT 3.0 TDI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2179806
9;371;AUDI;A6 ALLROAD QUATTRO 2.7 TDI TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2707086
9;373;AUDI;A6 ALLROAD QUATTRO 3.0 TDI TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3219147
9;380;AUDI;TT 2.0 TFSI S TRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1526065
9;392;AUDI;A8 4.2 FSI QUATTRO TIPTRONIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2552755
